module_key,module_index,level,owner_rva,reference_site_rva,reference_site_runtime,target_rva,target_section,reference_kind,value,family_id
LEVEL_02,2,Ryllus,0x0002923C,0x000292C0,0x09162FC0,0x002C6E38,.data,float32,1 / 0x3F800000,WF-014
LEVEL_02,2,Ryllus,0x0002C12C,0x0002C168,0x09165E68,0x002C6E84,.data,float32,0.0333333351 / 0x3D088889,WF-017
LEVEL_02,2,Ryllus,0x0002C12C,0x0002C1AC,0x09165EAC,0x002C6E88,.data,float32,1 / 0x3F800000,WF-017
LEVEL_02,2,Ryllus,0x0002C12C,0x0002C49C,0x0916619C,0x002C6E7C,.data,float32,0.400000006 / 0x3ECCCCCD,WF-017
LEVEL_02,2,Ryllus,0x0002D800,0x0002DCB0,0x091679B0,0x002C6EA4,.data,float32,0.400000006 / 0x3ECCCCCD,WF-022
LEVEL_02,2,Ryllus,0x00030648,0x00030674,0x0916A374,0x002C731C,.data,float32,0.100000001 / 0x3DCCCCCD,WF-023
LEVEL_02,2,Ryllus,0x00030648,0x000306A4,0x0916A3A4,0x002C7310,.data,float32,0.0500000007 / 0x3D4CCCCD,WF-023
LEVEL_02,2,Ryllus,0x00030648,0x000306E8,0x0916A3E8,0x002C7320,.data,float32,-0.195999995 / 0xBE48B439,WF-023
LEVEL_02,2,Ryllus,0x00030648,0x0003078C,0x0916A48C,0x002E17F0,.data,float32,0 / 0x00000000,WF-023
LEVEL_02,2,Ryllus,0x00030648,0x0003082C,0x0916A52C,0x002C7324,.data,float32,0.330000013 / 0x3EA8F5C3,WF-023
LEVEL_02,2,Ryllus,0x0004EDA4,0x0004EFD0,0x09188CD0,0x002C7CD8,.data,float32,0.100000001 / 0x3DCCCCCD,WF-001
LEVEL_02,2,Ryllus,0x0004EDA4,0x0004F15C,0x09188E5C,0x002C7CDC,.data,float32,1.5 / 0x3FC00000,WF-001
LEVEL_02,2,Ryllus,0x0004EDA4,0x0004F330,0x09189030,0x002C74A8,.data,float32,0.0799999982 / 0x3DA3D70A,WF-001
LEVEL_02,2,Ryllus,0x0004EDA4,0x0004F434,0x09189134,0x002C7CA8,.data,float32,-0.00300000003 / 0xBB449BA6,WF-001
LEVEL_02,2,Ryllus,0x000528BC,0x000529C4,0x0918C6C4,0x002C7D44,.data,float32,30.000597 / 0x41F00139,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052B08,0x0918C808,0x002C7D04,.data,float32,0.200000003 / 0x3E4CCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052B10,0x0918C810,0x002C7D08,.data,float32,0.400000006 / 0x3ECCCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052B20,0x0918C820,0x002C7D0C,.data,float32,0.800000012 / 0x3F4CCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052B64,0x0918C864,0x002C7D10,.data,float32,0.100000001 / 0x3DCCCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052B6C,0x0918C86C,0x002C7D14,.data,float32,0.200000003 / 0x3E4CCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052B80,0x0918C880,0x002C7D18,.data,float32,0.400000006 / 0x3ECCCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052E14,0x0918CB14,0x002C7D1C,.data,float32,0.0500000007 / 0x3D4CCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00052FD8,0x0918CCD8,0x002C7DDC,.data,float32,0 / 0x00000000,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x00053278,0x0918CF78,0x002C7D38,.data,float32,1 / 0x3F800000,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x000532A0,0x0918CFA0,0x002C7D98,.data,float32,0 / 0x00000000,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x000536D0,0x0918D3D0,0x002C7DC4,.data,float32,0.800000012 / 0x3F4CCCCD,WF-003
LEVEL_02,2,Ryllus,0x000528BC,0x000537A0,0x0918D4A0,0x002C7D9C,.data,float32,0.75 / 0x3F400000,WF-003
LEVEL_02,2,Ryllus,0x0005AD7C,0x0005AD84,0x09194A84,0x002C8138,.data,float32,0.400000006 / 0x3ECCCCCD,WF-004
LEVEL_02,2,Ryllus,0x0005AD7C,0x0005AD8C,0x09194A8C,0x002C813C,.data,float32,0.300000012 / 0x3E99999A,WF-004
LEVEL_02,2,Ryllus,0x0005AD7C,0x0005AD98,0x09194A98,0x002C8140,.data,float32,0.100000001 / 0x3DCCCCCD,WF-004
LEVEL_02,2,Ryllus,0x00110924,0x0011097C,0x0924A67C,0x002E4564,.data,float32,0.200000003 / 0x3E4CCCCD,WF-008
LEVEL_02,2,Ryllus,0x00110924,0x00110A68,0x0924A768,0x002E17F0,.data,float32,0 / 0x00000000,WF-008
LEVEL_02,2,Ryllus,0x00110B40,0x00110BFC,0x0924A8FC,0x002E4564,.data,float32,0.200000003 / 0x3E4CCCCD,WF-009
LEVEL_02,2,Ryllus,0x00110B40,0x00110CF4,0x0924A9F4,0x002E17F0,.data,float32,0 / 0x00000000,WF-009
LEVEL_02,2,Ryllus,0x00110B40,0x00110DD4,0x0924AAD4,0x002E4410,.data,float32,60 / 0x42700000,WF-009
LEVEL_02,2,Ryllus,0x00110E08,0x00110E60,0x0924AB60,0x002E43F8,.data,message_or_literal,>EDD?,WF-007
LEVEL_02,2,Ryllus,0x00110E08,0x00110E44,0x0924AB44,0x002E4558,.data,float32,0.0199999996 / 0x3CA3D70A,WF-007
LEVEL_02,2,Ryllus,0x00110E08,0x00110E60,0x0924AB60,0x002E43F8,.data,float32,0.76666671 / 0x3F444445,WF-007
LEVEL_02,2,Ryllus,0x00110E08,0x00110ED0,0x0924ABD0,0x002E4564,.data,float32,0.200000003 / 0x3E4CCCCD,WF-007
LEVEL_02,2,Ryllus,0x00110E08,0x00110FBC,0x0924ACBC,0x002E17F0,.data,float32,0 / 0x00000000,WF-007
LEVEL_02,2,Ryllus,0x00110E08,0x00111028,0x0924AD28,0x002E4408,.data,float32,0.214570001 / 0x3E5BB83D,WF-007
LEVEL_02,2,Ryllus,0x00110E08,0x0011107C,0x0924AD7C,0x002E4404,.data,float32,0.5 / 0x3F000000,WF-007
LEVEL_02,2,Ryllus,0x001137D4,0x001138D0,0x0924D5D0,0x002E43F8,.data,message_or_literal,>EDD?,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x001139AC,0x0924D6AC,0x002E43F8,.data,message_or_literal,>EDD?,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x001138A8,0x0924D5A8,0x002E43FC,.data,float32,3 / 0x40400000,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x001138C0,0x0924D5C0,0x002E4558,.data,float32,0.0199999996 / 0x3CA3D70A,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x001138D0,0x0924D5D0,0x002E43F8,.data,float32,0.76666671 / 0x3F444445,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x00113AA0,0x0924D7A0,0x002E4400,.data,float32,0.300000012 / 0x3E99999A,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x00113AE0,0x0924D7E0,0x002E4408,.data,float32,0.214570001 / 0x3E5BB83D,WF-010
LEVEL_02,2,Ryllus,0x001137D4,0x00113B48,0x0924D848,0x002E4404,.data,float32,0.5 / 0x3F000000,WF-010
LEVEL_02,2,Ryllus,0x001292F0,0x001293DC,0x092630DC,0x002E6380,.data,float32,0 / 0x00000000,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129544,0x09263244,0x002E6458,.data,float32,0.200000003 / 0x3E4CCCCD,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x001295C0,0x092632C0,0x002E644C,.data,float32,0.0399999991 / 0x3D23D70A,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x001295EC,0x092632EC,0x002E63C8,.data,float32,0.0199999996 / 0x3CA3D70A,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129650,0x09263350,0x002E63A4,.data,float32,0.0799999982 / 0x3DA3D70A,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129758,0x09263458,0x002E6518,.data,float32,0.99000001 / 0x3F7D70A4,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x0012984C,0x0926354C,0x002E6440,.data,float32,0.100000001 / 0x3DCCCCCD,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129868,0x09263568,0x002E643C,.data,float32,2 / 0x40000000,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x0012987C,0x0926357C,0x002E6450,.data,float32,0.0799999982 / 0x3DA3D70A,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129894,0x09263594,0x002E6454,.data,float32,1 / 0x3F800000,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x001298EC,0x092635EC,0x002E63B0,.data,float32,0.100000009 / 0x3DCCCCCE,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129914,0x09263614,0x002E17E0,.data,float32,0 / 0x00000000,WF-032
LEVEL_02,2,Ryllus,0x001292F0,0x00129938,0x09263638,0x002E6398,.data,float32,0.100000001 / 0x3DCCCCCD,WF-032
LEVEL_02,2,Ryllus,0x0012ABC4,0x0012ACE4,0x092649E4,0x002E6590,.data,float32,0.200000003 / 0x3E4CCCCD,WF-026
LEVEL_02,2,Ryllus,0x0012ABC4,0x0012AD2C,0x09264A2C,0x002E6598,.data,float32,0.150000006 / 0x3E19999A,WF-026
LEVEL_02,2,Ryllus,0x0012ABC4,0x0012ADD0,0x09264AD0,0x002E17F0,.data,float32,0 / 0x00000000,WF-026
LEVEL_02,2,Ryllus,0x0012ABC4,0x0012AF10,0x09264C10,0x002E6594,.data,float32,0.300000012 / 0x3E99999A,WF-026
LEVEL_02,2,Ryllus,0x0012AFAC,0x0012B0CC,0x09264DCC,0x002E6590,.data,float32,0.200000003 / 0x3E4CCCCD,WF-025
LEVEL_02,2,Ryllus,0x0012AFAC,0x0012B128,0x09264E28,0x002E6598,.data,float32,0.150000006 / 0x3E19999A,WF-025
LEVEL_02,2,Ryllus,0x0012B824,0x0012BAB0,0x092657B0,0x002E66B4,.data,message_or_literal,=QwV>,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012B86C,0x0926556C,0x002E66AC,.data,float32,0.266666681 / 0x3E888889,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012B874,0x09265574,0x002E66A8,.data,float32,0.13333334 / 0x3E088889,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012B954,0x09265654,0x002E66B8,.data,float32,0.100000001 / 0x3DCCCCCD,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012B994,0x09265694,0x002E66D0,.data,float32,1.31299996 / 0x3FA81062,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012BA60,0x09265760,0x002E66BC,.data,float32,2 / 0x40000000,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012BAB0,0x092657B0,0x002E66B4,.data,float32,0.209439531 / 0x3E567751,WF-057
LEVEL_02,2,Ryllus,0x0012B824,0x0012BAB8,0x092657B8,0x002E66B0,.data,float32,0.104719765 / 0x3DD67751,WF-057
