"module_index","module_key","offset_hex","offset_dec","original_hex","patched_hex","flags","flags_noms","layer","layer_nom","ecrit_statiquement"
"10","LEVEL_10","0x2D5E50","2973264","0x3C888889","0x3C088889","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2D5E58","2973272","0x3DCC7578","0x3D4CB6F5","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2D5E5C","2973276","0x3F7EB898","0x3F7FAE19","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2DA18C","2990476","0x41700000","0x41F00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DA190","2990480","0x40C00000","0x41400000","0","","2","armes","oui"
"10","LEVEL_10","0x2DC720","3000096","0x3BF2B9D6","0x3B72B9D6","0","","2","armes","oui"
"10","LEVEL_10","0x2DC724","3000100","0x3C360B61","0x3BB60B61","0","","2","armes","oui"
"10","LEVEL_10","0x2DC728","3000104","0x3C888889","0x3C088889","0","","2","armes","oui"
"10","LEVEL_10","0x2DC72C","3000108","0x3D088889","0x3C888889","0","","2","armes","oui"
"10","LEVEL_10","0x2DC730","3000112","0x3D088889","0x3C888889","0","","2","armes","oui"
"10","LEVEL_10","0x2DC734","3000116","0x3D088889","0x3C888889","0","","2","armes","oui"
"10","LEVEL_10","0x2DC738","3000120","0x3D088889","0x3C888889","0","","2","armes","oui"
"10","LEVEL_10","0x2DC73C","3000124","0x3D088889","0x3C888889","0","","2","armes","oui"
"10","LEVEL_10","0x2DE728","3008296","0x3EC19D7F","0x3E419D7F","0","","2","armes","oui"
"10","LEVEL_10","0x2DE72C","3008300","0x3EC19D7F","0x3E419D7F","0","","2","armes","oui"
"10","LEVEL_10","0x2DE730","3008304","0x3F20D97C","0x3EA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DE734","3008308","0x3F20D97C","0x3EA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DE740","3008320","0x3F19999A","0x3E99999A","0","","2","armes","oui"
"10","LEVEL_10","0x2DEF8C","3010444","0x42F00000","0x43700000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF194","3010964","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF198","3010968","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF19C","3010972","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1A0","3010976","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1A4","3010980","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1A8","3010984","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1AC","3010988","0x40400000","0x3FC00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1D0","3011024","0x3DA0D97C","0x3D20D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1D4","3011028","0x3DA0D97C","0x3D20D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1D8","3011032","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1DC","3011036","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1E0","3011040","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1E4","3011044","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1E8","3011048","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1EC","3011052","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"10","LEVEL_10","0x2DF1F4","3011060","0x42700000","0x42F00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DF200","3011072","0x41700000","0x41F00000","0","","2","armes","oui"
"10","LEVEL_10","0x2DFBB8","3013560","0x3E19999A","0x3D99999A","0","","2","armes","oui"
"10","LEVEL_10","0x2E0340","3015488","0x3E75C28F","0x3DF5C28F","0","","1","socle","oui"
"10","LEVEL_10","0x2E1A3C","3021372","0x41F00000","0x42700000","0","","2","armes","oui"
"10","LEVEL_10","0x96F60","618336","0x0E4C05BE","0x00000000","50","UNLOCK+CODE+OLD_JUMP","1","socle","oui"
"15","LEVEL_15","0x3110","12560","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
"15","LEVEL_15","0x3128","12584","0x3C04BD08","0x3C04BC88","16","CODE","1","socle","oui"
"15","LEVEL_15","0x11DF4","73204","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
"15","LEVEL_15","0x2214C","139596","0x27BDFFC0","0x00000007","20","CODE+CAVE_JUMP","4","cassables/boulons","oui"
"15","LEVEL_15","0x22150","139600","0xAFB00028","0x00000000","16","CODE","4","cassables/boulons","oui"
"15","LEVEL_15","0x221E4","139748","0x46107380","0x00000000","16","CODE","4","cassables/boulons","oui"
"15","LEVEL_15","0x24CD4","150740","0x46166300","0x461C6300","16","CODE","4","cassables/boulons","oui"
"15","LEVEL_15","0x24CF4","150772","0x46166301","0x461C6301","16","CODE","4","cassables/boulons","oui"
"15","LEVEL_15","0x24E8C","151180","0x46166300","0x461C6300","16","CODE","4","cassables/boulons","oui"
"15","LEVEL_15","0x25C3C","154684","0x46006506","0x460C6500","16","CODE","1","socle","oui"
"15","LEVEL_15","0x25D7C","155004","0x2A240002","0x2A240001","16","CODE","1","socle","oui"
"15","LEVEL_15","0x41904","268548","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"15","LEVEL_15","0x41B70","269168","0x3C05BF80","0x3C05BF00","16","CODE","8","particules","oui"
"15","LEVEL_15","0x41F40","270144","0x3C05BF80","0x3C05BF00","16","CODE","8","particules","oui"
"15","LEVEL_15","0x7D380","512896","0x0E49A168","0x00000000","50","UNLOCK+CODE+OLD_JUMP","1","socle","oui"
"21","LEVEL_21","0x3110","12560","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
