module_key,module_index,level,descriptor_rva,descriptor_runtime,object_name,callback_count,callback_rvas,callback_runtime_addresses,pvar_schema
LEVEL_02,2,Ryllus,0x002E6D34,0x09420A34,Button,3,0x0012E3C8; 0x0012E5E0; 0x0012E634,0x092680C8; 0x092682E0; 0x09268334,MobyLink attachMoby; Toggle bUseCase; Toggle bUseOnce; Toggle bLocked; u8 pad[ 9 ];
LEVEL_02,2,Ryllus,0x002E6DB8,0x09420AB8,CannonSprout,4,0x0012EDB4; 0x0012EF5C; 0x0012EF90; 0x0012F0F0,0x09268AB4; 0x09268C5C; 0x09268C90; 0x09268DF0,
LEVEL_02,2,Ryllus,0x002E6F6C,0x09420C6C,CBEnterCutscene,3,0x0012F34C; 0x0012F628; 0x0012FC0C,0x0926904C; 0x09269328; 0x0926990C,TriggerLink bound; Moby *pBot; MobyLink botPort; MobyLink botController; VEC3 startPoint; CurveLink camPath; Navigate navData; f32 segProgress; u32 lastContext; f32 velY; MobyLink help; u8 falling; u8 pathPoint; u8 pad[2];
LEVEL_02,2,Ryllus,0x002E7080,0x09420D80,CBHappyPlace,3,0x001300B0; 0x001302C4; 0x001302CC,0x09269DB0; 0x09269FC4; 0x09269FCC,TriggerLink happyRegion; f32 reqPlayerDist; Moby *pBot[6]; MobyLink botController; TriggerLink initTrigger; u32 timer[6]; Toggle botSet[6]; u8 pad[10];
LEVEL_02,2,Ryllus,0x002E7150,0x09420E50,CBSadPlace,3,0x001305AC; 0x001306DC; 0x001306E4,0x0926A2AC; 0x0926A3DC; 0x0926A3E4,MobyLink botController; TriggerLink landingArea; u32 pad[ 2 ];
LEVEL_02,2,Ryllus,0x002E7214,0x09420F14,CBWaitForPlayerArea,3,0x00130790; 0x0013094C; 0x00130954,0x0926A490; 0x0926A64C; 0x0926A654,MobyLink botController; TriggerLink waitArea; TriggerLink initTrigger; u32 pad;
LEVEL_02,2,Ryllus,0x002E7384,0x09421084,ChameleonDecoy,4,0x00130D34; 0x00130D3C; 0x00130D54; 0x00130DDC,0x0926AA34; 0x0926AA3C; 0x0926AA54; 0x0926AADC,
LEVEL_02,2,Ryllus,0x002E74AC,0x094211AC,ChasePosController,3,0x00130E90; 0x00130F44; 0x00130F4C,0x0926AB90; 0x0926AC44; 0x0926AC4C,ChasePosEntry entry[8]; MobyLink targetMgr; const ChasePosEntry *waveCenterEntry[ 2 ]; u8 chasingCount[8]; f32 firstWaveDist; f32 secondWaveDist; u8 attackingMax; u8 pad[7];
LEVEL_02,2,Ryllus,0x002E76F4,0x094213F4,ClankBot,4,0x00132178; 0x00132618; 0x00134E40; 0x0013264C,0x0926BE78; 0x0926C318; 0x0926EB40; 0x0926C34C,VEC3 posInit; u32 earColor; MobyLink botController; MobyLink botPath; MobyLink targetManager; Moby *pTarget; NavBound navData; Particle *pTop; u8 controllerIdx; u8 flags; u8 targetIdx; u8 currEnemyGroup; u8 earsUpdated; u8 runFallFrames; u8 groupNum; u8 contPointIdx;
LEVEL_02,2,Ryllus,0x002E7960,0x09421660,ClankBotController,3,0x00135420; 0x00135688; 0x00135CA0,0x0926F120; 0x0926F388; 0x0926F9A0,BotControllerEntry entry[8]; u32 respawnTimer[8]; TriggerLink destroyTrigger; TriggerLink initTrigger; u8 nextState; u8 attackingMax; u8 chasingCount[2]; u8 collIndex; u8 waveCenterIndex[ 2 ]; u8 respawnSegmentBuffer; u8 enterIdx; u8 validRespawnPoints; u8 commandUsed[4]; u8 pad[10]; VEC4 respawnPoint[5]; MobyLink botHouses[ 6 ]; TriggerLink noPushTriggers[ 2 ];
